,assisted_housing_count,active_finance,gun incident count,% of adults < high school dip,avg unemploy rate 2015_2020,clusters,cluster
2053,2,1,5,13.3,4.449999999999999,1,purple
2054,7,4,165,32.4,4.983333333333333,1,purple
2055,4,2,1,21.7,4.633333333333334,1,purple
2056,7,2,83,13.4,4.283333333333333,1,purple
2057,2,1,1,34.3,11.1,1,purple
2058,9,3,96,6.8,3.6666666666666665,1,purple
2059,2,0,10,12.4,3.8,1,purple
2060,2,1,8,14.7,4.433333333333333,1,purple
2061,2,0,3,17.0,4.0,1,purple
2062,1,1,1,38.1,8.166666666666666,1,purple
2063,1,1,3,11.1,3.783333333333333,1,purple
2064,5,3,3,6.9,3.333333333333333,1,purple
2065,3,3,35,6.9,2.7,1,purple
2066,4,1,5,8.4,4.883333333333333,1,purple
2067,14,8,34,4.4,3.1,1,purple
2068,1,1,9,11.2,6.216666666666668,1,purple
2069,1,1,4,6.7,5.766666666666666,1,purple
2070,40,24,635,9.2,3.283333333333333,0,pink
2071,1,1,4,9.8,3.6833333333333336,1,purple
2072,2,2,9,9.4,3.8166666666666655,1,purple
2073,2,1,13,8.7,3.6833333333333336,1,purple
2074,4,2,22,14.3,6.55,1,purple
2075,3,1,92,5.4,2.95,1,purple
2076,3,2,36,7.1,3.733333333333333,1,purple
2077,20,11,78,9.4,3.7,1,purple
2078,8,3,52,6.5,3.15,1,purple
2079,9,0,33,8.8,4.016666666666667,1,purple
2080,10,2,16,8.7,4.033333333333333,1,purple
2081,30,12,95,5.6,2.65,1,purple
2082,4,1,1,13.2,4.733333333333333,1,purple
2083,13,3,30,9.3,3.283333333333333,1,purple
2084,3,0,4,7.1,3.8166666666666655,1,purple
2085,5,1,8,7.2,4.5,1,purple
2086,8,1,16,8.2,3.2,1,purple
2087,6,1,17,11.7,5.3500000000000005,1,purple
2088,19,5,53,7.4,4.0,1,purple
2089,13,1,66,6.3,3.1833333333333336,1,purple
2090,9,2,40,7.6,3.566666666666667,1,purple
2091,14,4,26,6.6,3.033333333333333,1,purple
2092,1,1,21,18.5,4.733333333333333,1,purple
2093,2,1,29,7.9,3.5,1,purple
2094,4,1,1,14.0,4.65,1,purple
2095,1,1,18,14.4,4.183333333333334,1,purple
2096,1,1,7,14.1,4.4,1,purple
2097,16,10,69,5.7,2.7000000000000006,1,purple
2098,1,1,24,12.6,3.4333333333333336,1,purple
2099,1,1,1,9.7,4.216666666666666,1,purple
2100,4,1,28,10.0,3.8333333333333335,1,purple
2101,2,1,1,21.5,5.883333333333334,1,purple
2102,2,1,14,14.9,4.483333333333333,1,purple
2103,3,1,14,19.2,4.999999999999999,1,purple
2104,12,10,192,7.7,3.8333333333333335,1,purple
2105,4,3,15,13.9,3.6666666666666665,1,purple
2106,37,15,122,7.5,3.35,1,purple
2107,2,1,12,7.5,3.35,1,purple
2108,6,4,21,11.9,4.0,1,purple
2109,2,2,9,10.8,3.333333333333333,1,purple
2110,1,1,7,11.1,4.616666666666666,1,purple
2111,2,2,12,10.4,3.583333333333333,1,purple
2112,1,0,5,18.7,4.366666666666667,1,purple
2113,4,2,15,18.5,5.266666666666667,1,purple
2114,2,1,19,6.9,3.3666666666666667,1,purple
2115,16,5,266,8.3,3.966666666666667,1,purple
2116,5,4,11,12.1,3.866666666666667,1,purple
2117,1,1,13,4.9,3.983333333333333,1,purple
2118,1,1,9,6.7,3.766666666666667,1,purple
2119,1,1,2,7.9,3.7000000000000006,1,purple
2120,1,1,4,23.3,5.55,1,purple
2121,2,0,73,6.1,3.25,1,purple
2122,3,3,15,14.8,3.65,1,purple
2123,4,3,1,18.1,5.15,1,purple
2124,2,2,4,12.9,3.583333333333333,1,purple
2125,8,4,18,6.8,3.75,1,purple
2126,5,3,6,17.5,5.783333333333332,1,purple
2127,1,1,5,20.3,3.8166666666666655,1,purple
2128,2,2,9,11.3,3.9499999999999993,1,purple
2129,1,0,29,17.3,4.566666666666666,1,purple
2130,5,4,5,14.0,5.033333333333334,1,purple
2131,4,3,166,11.5,3.783333333333333,1,purple
2132,3,1,10,12.6,5.116666666666666,1,purple
2133,7,3,22,7.7,3.5,1,purple
2134,3,2,3,13.2,4.016666666666667,1,purple
2135,1,0,6,16.0,3.4,1,purple
2136,2,0,4,13.0,3.6166666666666663,1,purple
2137,2,2,10,16.7,5.15,1,purple
2138,3,3,28,8.8,4.016666666666667,1,purple
2139,6,6,53,6.8,3.85,1,purple
2140,1,0,4,19.7,6.116666666666666,1,purple
2141,2,1,10,18.3,6.066666666666666,1,purple
2142,1,1,29,14.3,4.25,1,purple
2143,5,4,2,15.5,4.516666666666667,1,purple
2144,4,2,16,24.1,6.616666666666667,1,purple
2145,2,1,12,13.8,5.133333333333333,1,purple
2146,9,0,44,7.0,3.183333333333333,1,purple
2147,4,2,10,15.3,4.966666666666667,1,purple
2148,2,1,1,18.9,4.266666666666667,1,purple
2149,9,6,57,8.9,3.5333333333333337,1,purple
2150,14,7,133,7.9,4.05,1,purple
2151,13,6,135,18.2,6.366666666666667,1,purple
2152,3,2,4,20.6,6.483333333333333,1,purple
2153,2,1,1,6.0,3.2,1,purple
2154,3,0,15,13.7,5.733333333333334,1,purple
2155,5,2,30,9.8,4.683333333333333,1,purple
2156,3,1,1,24.3,4.766666666666667,1,purple
2157,5,2,338,8.6,5.433333333333334,1,purple
2158,4,2,13,16.1,4.533333333333334,1,purple
2159,1,1,47,18.7,6.583333333333333,1,purple
2160,2,0,1,8.6,5.8,1,purple
2161,13,4,90,11.3,5.05,1,purple
2162,2,2,2,17.3,3.8166666666666655,1,purple
2163,5,2,14,17.2,6.866666666666666,1,purple
2164,27,13,511,9.0,5.1000000000000005,1,purple
2165,24,12,588,12.0,5.15,1,purple
2166,7,1,98,17.2,8.233333333333333,1,purple
2167,9,4,262,11.7,5.8,1,purple
2168,4,2,8,8.8,4.866666666666666,1,purple
2169,31,13,849,14.6,4.916666666666667,0,pink
2170,13,4,211,13.8,4.483333333333333,1,purple
2171,6,3,10,10.3,3.883333333333333,1,purple
2172,12,8,77,10.1,4.35,1,purple
2173,20,15,277,6.5,3.8666666666666663,1,purple
2174,3,2,25,13.9,4.216666666666667,1,purple
2175,1,0,8,15.9,3.8666666666666663,1,purple
2176,2,1,5,33.1,6.133333333333333,1,purple
2177,2,2,5,8.6,4.516666666666667,1,purple
2178,16,9,83,9.8,6.116666666666667,1,purple
2179,9,4,11,17.4,5.583333333333333,1,purple
2180,5,1,21,7.5,7.533333333333334,1,purple
2181,25,11,221,7.3,5.849999999999999,1,purple
2182,4,0,48,10.7,6.933333333333335,1,purple
2183,1,0,3,17.9,6.316666666666666,1,purple
2184,1,0,1,13.0,10.816666666666668,1,purple
2185,3,0,49,25.0,7.05,1,purple
2186,13,5,69,23.3,7.0,1,purple
2187,8,1,12,10.3,8.200000000000001,1,purple
2188,2,0,8,4.7,5.866666666666667,1,purple
2189,3,1,6,4.9,6.766666666666666,1,purple
2190,122,51,1173,6.9,4.133333333333334,0,pink
2191,13,4,42,5.2,5.416666666666667,1,purple
2192,3,0,7,8.6,6.15,1,purple
2193,2,0,4,12.0,6.516666666666667,1,purple
2194,10,4,33,12.5,7.349999999999999,1,purple
2195,2,0,1,7.3,5.45,1,purple
2196,4,2,22,11.4,7.3,1,purple
2197,4,1,11,16.1,6.983333333333333,1,purple
2198,1,1,1,11.7,8.0,1,purple
2199,1,0,2,8.9,8.516666666666666,1,purple
